"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",1,0,1,NA,1,1.13353443145752,1,0.701987028121948
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",1,0.2,1,NA,1,1.45437550544739,1,0.698379993438721
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",1,0.4,1,NA,1,1.09586048126221,1,0.719642162322998
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",1,0.6,1,NA,1,1.13156986236572,1,0.743407249450684
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",1,0.8,1,NA,1,1.20935678482056,1,1.06281971931458
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0,0,1,NA,0.001,1.11350655555725,0,0.97887110710144
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0,0.2,1,NA,0.001,1.08893036842346,0,0.748497247695923
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0,0.4,1,NA,0.001,1.40204548835754,0,0.700635433197021
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0,0.6,1,NA,0.001,1.10277366638184,0,0.683536291122437
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0,0.8,1,NA,0.001,1.38236308097839,0,0.80036187171936
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.2,0,1,NA,1,1.52353739738464,1,0.710773229598999
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.2,0.2,1,NA,0.999,1.13752865791321,1,0.727903366088867
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.2,0.4,1,NA,0.999,1.35308384895325,0.999,0.720836877822876
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.2,0.6,1,NA,0.985,1.10819554328918,0.995,0.72077488899231
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.2,0.8,1,NA,0.955,1.2116711139679,0.998,0.705104351043701
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.4,0,1,NA,1,1.10094809532166,1,0.778369188308716
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.4,0.2,1,NA,1,1.36726140975952,1,0.725897789001465
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.4,0.4,1,NA,1,1.165452003479,1,0.665133714675903
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.4,0.6,1,NA,1,1.13957834243774,1,0.751018285751343
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.4,0.8,1,NA,1,1.30534505844116,1,0.745341777801514
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.6,0,1,NA,1,1.1686692237854,1,1.05041646957397
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.6,0.2,1,NA,1,1.13760161399841,1,0.756975650787354
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.6,0.4,1,NA,1,1.12425184249878,1,0.723980188369751
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.6,0.6,1,NA,1,1.42165470123291,1,0.751239061355591
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.6,0.8,1,NA,1,1.30148720741272,1,0.704050302505493
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.8,0,1,NA,1,1.12921380996704,1,0.72610354423523
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.8,0.2,1,NA,1,1.13034152984619,1,0.797487497329712
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.8,0.4,1,NA,1,1.16125750541687,1,0.707504749298096
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.8,0.6,1,NA,1,1.15377235412598,1,0.716253042221069
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.8,0.8,1,NA,1,1.33903861045837,1,0.733329772949219
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",1,0,1,NA,1,1.09416794776917,1,0.710814476013184
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",1,0.2,1,NA,1,1.09143471717834,1,0.730154514312744
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",1,0.4,1,NA,1,1.12752771377563,1,0.99087929725647
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",1,0.6,1,NA,1,1.18669629096985,1,0.725027561187744
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",1,0.8,1,NA,1,1.29331374168396,1,0.708916664123535
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0,0,1,NA,0.049,1.1782341003418,0.052,0.654433965682983
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0,0.2,1,NA,0.042,1.04536914825439,0.052,0.691652059555054
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0,0.4,1,NA,0.044,1.07849645614624,0.052,0.68963885307312
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0,0.6,1,NA,0.049,1.0483341217041,0.052,0.736047744750977
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0,0.8,1,NA,0.047,1.12397360801697,0.052,0.669790744781494
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.2,0,1,NA,0.966,1.09223389625549,0.964,0.780527830123901
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.2,0.2,1,NA,0.949,1.07565355300903,0.888,0.70556378364563
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.2,0.4,1,NA,0.912,1.03779292106628,0.777,0.687377452850342
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.2,0.6,1,NA,0.85,1.14352297782898,0.661,0.672585964202881
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.2,0.8,1,NA,0.794,1.08513832092285,0.573,0.791278600692749
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.4,0,1,NA,1,1.27707529067993,1,0.756418704986572
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.4,0.2,1,NA,1,1.08087158203125,1,0.691493034362793
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.4,0.4,1,NA,1,1.11213135719299,1,0.693912982940674
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.4,0.6,1,NA,1,1.08577013015747,1,0.692054986953735
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.4,0.8,1,NA,1,1.11560750007629,0.999,0.669666528701782
