"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA","MANOVA_col","Pot_MANOVA","tcomp_MANOVA","δ Potencia (%)","RPD Potencia (%)"
"Transformación logarítmica","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANTA",0.101,1.13638758659363,"MANOVA",0.134,0.728566408157349,3.3,28.0851063829787
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANTA",0.887,2.03061175346375,"MANOVA",0.967,0.753320932388306,8,8.62998921251348
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANTA",0.075,1.11605095863342,"MANOVA",0.096,0.663383483886719,2.1,24.5614035087719
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0.0175,1000,"MANTA",0.062,1.09299325942993,"MANOVA",0.062,0.684943199157715,0,0
"Transformación logarítmica","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0.0175,1000,"MANTA",0.132,1.11299204826355,"MANOVA",0.149,0.670701742172241,1.7,12.0996441281139
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0.0175,1000,"MANTA",0.981,1.80096006393433,"MANOVA",0.999,0.794497013092041,1.8,1.81818181818182
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0.0175,1000,"MANTA",0.081,1.0928430557251,"MANOVA",0.086,0.671624660491943,0.499999999999999,5.9880239520958
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0.0175,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0.0175,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0.035,1000,"MANTA",0.069,1.09508895874023,"MANOVA",0.071,0.726113319396973,0.199999999999999,2.85714285714284
"Transformación logarítmica","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0.035,1000,"MANTA",0.133,1.18996930122375,"MANOVA",0.175,0.662307739257812,4.2,27.2727272727273
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0.035,1000,"MANTA",0.981,1.48971033096313,"MANOVA",0.999,0.750417470932007,1.8,1.81818181818182
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0.035,1000,"MANTA",0.092,1.09199357032776,"MANOVA",0.1,0.679540395736694,0.800000000000001,8.33333333333334
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"unequal",3,NA,NA,0,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
